session_id,timestamp_utc,event_type,player_nickname,player_level,player_side,player_game_edition,player_account_type,map_name,map_time_of_day,map_ingame_time_variant,raid_result,raid_duration_seconds,raid_duration_formatted,exit_name,exit_status,experience_total_session,experience_kill_session,experience_loot_session,experience_exit_status_session,kills_total_session,kills_headshots_session,damage_inflicted_session,longest_shot_session,currency_loot_value_roubles_session,victims_details,killed_by_name,killed_by_role,killed_by_weapon_name,killed_on_body_part,body_parts_destroyed_session,distance_pedometer_session
6815e32400054ef804243ea0,2025-05-09 12:31:35,start,kybeq,69,Bear,edge_of_darkness,,Fabryka,,DAY,,,,,,,,,,,,,,,,,,,,,
6815e32400054ef804243ea0,2025-05-09 12:34:14,end,kybeq,69,Bear,edge_of_darkness,,Fabryce,,,Zabity,133,02:13,,,19938152,595,313,0,2,1,30230,744.0,,harmony|pmcUSEC|55|GŁOWA|59e6687d86f77411d949b251|2.1 m; DocYen|pmcBEAR|66|TUŁÓW|5cc82d76e24e8d00134b4b83|7.4 m,Николай Мутнорылый,assault,59f9cabd86f7743a10721f46,TUŁÓW,2,336
