session_id,timestamp,type,location,time_of_day,nickname,level,side,raid_result,play_time,kills_count,victims,total_experience,killer_info
6815e32400054ef804243ea0,2025-05-09 11:24:31,start,Fabryka,day,,,,,,,,,
6815e32400054ef804243ea0,2025-05-09 11:25:36,end,Fabryka,,kybeq,69,BEAR,Killed,10:05,0,,19930716,Dildz|PMC BEAR|6183afd850224f204c1da514|Klatka piersiowa
